key|S_Kr|S_Jp
219|화염 난사|火炎放射
220|마비탄 발사|パラライズショット
221|횡대 수리|横列修理
222|횡대 포격|横隊砲撃
223|전체 수리|全体修理
224|3연발 포격|3連ショット
225|전방위 발사|前方発射
226|일점사|一点射撃
227|수류탄 투척|グレネード
228|횡대 포격|横隊砲撃
229|수류탄 투척|グレネード
230|1열 관통|1列貫通
231|어뢰 발사|魚雷発射
232|횡대 폭격|横列爆撃
233|어뢰 발사|魚雷発射
234|횡대 대폭격|横列大爆撃
235|미사일 발사|ミサイル発射
236|3연발 미사일|3連ミサイル
237|SP 미사일|SPミサイル
238|집중 포격|集中砲火
239|무력화 미사일|弱体ミサイル
240|십자 포화|クロスファイア
241|긴급 수리|緊急修理
242|장갑 파괴|装甲破壊
243|기동력 저하탄|のろのろ爆弾
244|마비탄 발사|パラライズショット
245|횡대 장갑 파괴|横列装甲破壊
246|조준 센서 파괴|照準センサー破壊
247|관통 사격|貫通射撃
248|기동력 저하탄|のろのろ爆弾
249|네이팜탄 발사|ナパーム弾
250|횡대 장갑 파괴|横列装甲破壊
251|미사일 폭격|ミサイル爆撃
252|SP 미사일|SPミサイル
253|장갑 파괴|装甲破壊
254|조준 센서 파괴|照準センサー破壊
255|전방위 발사|前方発射
256|조인트 에임|ジョイントエイム
257|스모크 스크린|スモークスクリーン
258|오버홀|オーバーホール
259|가드 브레이커|ガードブレイカー
260|SP 디클라인|SPディクライン
261|미스포츈|ミスフォーチュン
262|배드 스파이크|バッドスパイク
263|크로울러 이미트|クローラエミット
264|레이저 샤워|レーザーシャワー
265|파이어 엑스|ファイアアックス
266|가드 크러쉬|ガードクラッシュ
267|센서 컨퓨즈|センサージャミング
268|암스 렉|アームズラック
269|스피드 다운|スピードダウン
270|미스포츈|ミスフォーチュン
271|실드 크랙|シールドクラック
272|웨폰 크러쉬|ウエポンクラッシュ
273|블랙 아웃|ブラックアウト
274|커즈드 라이트|カーズドライト
275|SP 디클라인|SPディクライン
276|리바이브|リヴァイブ
277|가드 브레이커|ガードブレイカー
278|웨폰 크러쉬|ウエポンクラッシュ
279|스피드 다운|スピードダウン
280|미스포츈|ミスフォーチュン
281|SP 디클라인|SPディクライン
282|가드 브레이커|ガードブレイカー
283|위치 라이트|ウィッチライト
284|웨폰 크러쉬|ウエポンクラッシュ
285|파이어 크로스|ファイアクロス
286|SP 디클라인|SPディクライン
287|스피드 다운|スピードダウン
288|리바이브|リヴァイブ
289|웨폰 크러쉬|ウエポンクラッシュ
290|가드 브레이커|ガードブレイカー
291|센서 컨퓨즈|センサージャミング
292|레이저 샤워|レーザーシャワー
293|미스포츈|ミスフォーチュン
294|스큐어 샤인|セキュアシャイン
295|싱크 핏|シンクピット
296|쇼크 웨이브|ショックウェーブ
297|스피드 다운|スピードダウン
298|펄시 어썰트|パルスアサルト
299|암스 렉|アームズラック
300|아머 스플리트|アーマースプリット
301|아머 스플리트|アーマースプリット
302|패이털 스파이크|フェイタルスパイク
303|오버홀|オーバーホール
304|아머 스플리트|アーマースプリット
305|멜팅 플레임|メルティングフレーム
306|컨버징 어택|コンバージング
307|브레이크 다운|ブレイクダウン
308|SP 디클라인|SPディクライン
309|아머 스플리트|アーマースプリット
310|스핀 업|スピンアップ
311|풀 리페어|フルリペア
312|가드 브레이커|ガードブレイカー
313|실드 크랙|シールドクラック
314|SP 디클라인|SPディクライン
315|브로큰 매그넘|ブロークンマグナム
400|보병|歩兵
401|수색병|捜索兵
402|방패병|盾兵
403|특공대|特科歩兵
404|저격수|狙撃兵
405|레이저병|レーザー兵
406|강화 보병|強化歩兵
407|강화 수색병|強化捜索兵
408|강화 방패병|強化盾兵
409|강화 특공대|強化特攻隊
410|강화 저격수|強化狙撃手
411|강화 레이저병|強化レーザー兵
412|정예 보병|精鋭歩兵
413|정예 수색병|精鋭捜索兵
414|정예 방패병|精鋭盾兵
415|정예 특공대|強化特科歩兵
416|정예 저격수|精鋭狙撃手
417|정예 레이저병|精鋭レーザー兵
418|정예 화염방사형|精鋭火炎放射形
419|기관총 바이크|バトルバイク
420|강화 기관총 바이크|強化バトルバイク
421|정예 기관총 바이크|精鋭機バトルバイク
422|게틀링 바이크|ガトリングバイク
423|강화 게틀링 바이크|強化ガトリングバイク
424|정예 게틀링 바이크|精鋭ガトリングバイク
425|배틀 버기|バトルバギー
426|강화 배틀 버기|強化バトルバギー
427|정예 배틀 버기|精鋭バトルバギー
428|게릴라 버기|ゲリラバギー
429|워 발칸|ウォーバルカン
430|워 캐논|ウォーキヤノン
431|레일건 탱크|レールガンタンク
432|화염방사병|火炎放射兵
433|강화 화염방사병|強化火炎放射兵
550|유닛|ユニット
551|수류탄을 투척하여 범위 공격을 한다.|手榴弾を投げて範囲攻撃をする。
552|폭발하며 연기를 피워 피해를 입히면서 조준율을 낮춘다.|爆発しながら煙をたたせ、ダメージを与えて照準率を下げる。
553|기관포를 난사하여 범위 공격을 한다.|機関砲を乱射して範囲攻撃をする。
554|적 1개 유닛에게 연속 2회 공격한다.|敵単体に連続2回攻撃をする。
555|기관포를 난사하여 범위 공격을 한다.|機関砲を乱射して範囲攻撃をする。
556|적 1개 유닛에게 연속 3회 공격한다.|敵単体に連続3回攻撃をする。
557|적 1개 유닛에 강력한 피해를 주면서 공격력을 낮춘다.|敵単体に強力な被害を与えて攻撃力を低下させる。
558|커다란 불길을 일으키며 범위 공격을 한다.|大きな火を起こして範囲攻撃をする。
559|적 1개 유닛에게 연속 4회 공격한다.|敵単体に連続4回攻撃をする。
560|적 1개 유닛에게 EMP탄으로 공격하여 기동력을 낮춘다.|敵単体にEMP弾で攻撃して機動力を低下させる。
561|십자 모양으로 범위 공격을 한다.|十字形に範囲攻撃をする。
562|적 1개 유닛에게 연속 2회 공격한다.|敵単体に連続2回攻撃をする。
563|적 1개 유닛에게 강력한 피해를 준다.|敵単体に強力な被害を与える。
564|범위 공격을 하며 적의 기동력을 낮춘다.|範囲攻撃をしながら敵の機動力を低下させる。
565|적 부대 전체에게 2회 공격한다.|敵部隊全体に2回攻撃をする。
566|관통탄을 발사하여 세로 한 줄을 공격한다.|貫通弾を発射して縦一行を攻撃する。
567|적 1개 유닛에 강력한 피해를 주면서 공격력을 낮춘다.|敵単体に強力な被害を与えて攻撃力を低下させる。
568|한 번에 가로 한 줄을 공격한다.|一気に横一行を攻撃する。
569|적 부대 전체에게 화염탄을 발사, 일정시간 동안 추가 피해를 준다.|敵部隊全体に火炎弾を発射、一定時間の間、追加被害を与える。
570|적 부대 전체에게 마비탄을 발사, 스턴 효과를 준다.|敵部隊全体にマヒ弾を発射、スターン効果を与える。
571|아군 가로 한 줄의 HP를 회복시킨다.|味方横一行のHPを回復させる。
572|한 번에 가로 한 줄을 공격한다.|一気に横一行を攻撃する。
573|아군 부대 전체를 회복시킨다.|味方部隊全体を回復させる。
574|적 1개 유닛에게 연속 3회 공격한다.|敵単体に連続3回攻撃をする。
575|적 부대 전체에게 1회 공격한다.|敵部隊全体に1回攻撃をする。
576|적 1개 유닛에 강력한 피해를 준다.|敵単体に強力な被害を与える。
577|수류탄을 투척하여 적 1개 유닛을 공격한다.|手榴弾を投げて敵単体にを攻撃する。
578|가로 한 줄을 공격한다.|横一行を攻撃する。
579|수류탄을 투척하여 범위 공격을 한다.|手榴弾を投げて範囲攻撃をする。
580|세로 한 줄을 관통하여 공격한다.|縦一行を貫いて攻撃する。
581|어뢰를 발사, 범위 공격을 한다.|魚雷を発射、範囲攻撃をする。
582|가로 한 줄을 공격한다.|横一行を攻撃する。
583|어뢰를 발사, 범위 공격을 한다.|魚雷を発射、範囲攻撃をする。
584|가로 두 줄을 공격한다.|横二行を攻撃する。
585|미사일을 발사하여 적 1개 유닛을 공격한다.|ミサイルを発射して敵単体にを攻撃する。
586|적 1개 유닛에게 연속 3회 공격한다.|敵単体に連続3回攻撃をする。
587|미사일을 발사하여 적 1개 유닛을 공격하고, 적의 스킬게이지를 감소시킨다.|ミサイルを発射して敵単体にを攻撃して、敵のスキルゲージを減少させる。
588|적 유닛 1개에 여러 차례 함포 사격을 한다.|敵ユニット1個に何回も艦砲射撃をする。
589|적 1개 유닛에 강력한 피해를 주면서 공격력을 낮춘다.|敵単体に強力な被害を与えて攻撃力を低下させる。
590|십자 모양으로 범위 공격을 한다.|十字形に範囲攻撃をする。
591|아군 유닛 1개의 HP를 회복시킨다.|味方ユニット1機のHPを回復させる。
592|적 1개 유닛에 강력한 피해를 주면서 방어력을 낮춘다.|敵単体に強力な被害を与えて防御力を低下させる。
593|적 1개 유닛을 공격하면서 적의 기동력을 낮춘다.|敵単体を攻撃して機動力を低下させる。
594|적 1개 유닛에게 마비탄을 발사, 스턴 효과를 준다.|敵単体にマヒ弾を発射、スターン効果を与える。
595|범위 공격을 하고, 적의 방어력을 낮춘다.|範囲攻撃をして、敵の防御力を低下させる。
596|적 1개 유닛을 공격하여 적의 조준을 낮춘다.|敵単体にを攻撃して敵の照準を低下させる。
597|앞뒤의 적 2개 유닛을 공격한다.|前後の敵2機を攻撃する。
598|범위 공격을 하며 적의 기동력을 낮춘다.|範囲攻撃をしながら敵の機動力を低下させる。
599|적 1개 유닛에게 강력한 피해를 주며 일정시간 동안 추가 피해를 준다.|敵単体に強力な被害を与えて一定時間の間、追加被害を与える。
600|범위 공격을 하고, 적의 방어력을 낮춘다.|範囲攻撃をして、敵の防御力を低下させる。
601|한 번에 가로 한 줄을 공격한다.|一気に横一行を攻撃する。
602|미사일을 발사하여 적 1개 유닛을 공격하고, 적의 스킬게이지를 감소시킨다.|ミサイルを発射して敵単体にを攻撃し、敵のスキルゲージを減少させる。
603|적 1개 유닛에 강력한 피해를 주면서 방어력을 낮춘다.|敵単体に強力な被害を与えて防御力を低下させる。
604|범위 공격을 하며 적의 조준을 낮춘다.|範囲攻撃をしながら敵の照準を低下させる。
605|적 부대 전체에게 1회 공격한다.|敵部隊全体に1回攻撃をする。
606|양 측면으로 전기 탄환을 발사, 적의 기동력을 낮춘다.|両側面で電気弾丸を発射、敵の機動力を低下させる。
607|연막 미사일을 쏘아 범위 공격을 하며 적의 조준을 낮춘다.|煙幕ミサイルを撃って範囲攻撃をしながら敵の照準を低下させる。
608|아군 부대 전체를 회복시킨다.|味方部隊全体を回復させる。
609|적 1개 유닛에게 집중 공격을 하며 적의 방어력을 낮춘다.|敵単体に集中攻撃をしながら敵の防御力を低下させる。
610|레이저로 범위 공격을 하며 적의 스킬게이지를 감소시킨다.|レーザーで範囲攻撃をしながら敵のスキルゲージを減少させる。
611|레이저로 적 1개 유닛을 공격하며 적의 치명타율을 낮춘다.|レーザーで敵単体にを攻撃して敵の必殺率を低下させる。
612|범위 공격을 하며 적의 행운을 낮춘다.|範囲攻撃をしながら敵の回避を低下させる。
613|적 전체에게 피해를 입히며 적의 공격력을 낮춘다.|全ての敵に被害を与えて攻撃力を低下させる。
614|레이저로 세로열을 공격, 적의 치명타 피해를 낮춘다.|レーザーで縦列を攻撃、敵の必殺ダメージを低下させる。
615|X자 범위로 화염을 방사, 적의 기동력을 낮춘다.'|X字範囲で火炎を放射、敵の機動力を低下させる。
616|미사일로 범위 공격을 하며 적의 방어력을 낮춘다.|ミサイルで範囲攻撃をしながら敵の防御力を低下させる。
617|미사일로 범위 공격을 하며 적의 조준을 낮춘다.|ミサイルで範囲攻撃をしながら敵の照準を低下させる。
618|레이저로 범위 공격을 하며 적의 공격력을 낮춘다.|レーザーで範囲攻撃をしながら敵の攻撃力を低下させる。
619|미사일로 범위 공격을 하며 적의 기동력을 낮춘다.|ミサイルで範囲攻撃をしながら敵の機動力を低下させる。
620|미사일로 범위 공격을 하며 적의 치명타율을 낮춘다.|ミサイルで範囲攻撃をしながら敵の必殺率を低下させる。
621|레이저로 범위 공격을 하며 적의 방어력을 낮춘다.|レーザーで範囲攻撃をしながら敵の防御力を低下させる。
622|레이저로 적 1개 유닛을 공격하며 적의 공격력을 낮춘다.|レーザーで敵単体にを攻撃して敵の攻撃力を低下させる。
623|레이저로 적 1개 유닛을 공격하며 스턴 효과를 준다.|レーザーで敵単体にを攻撃してスターン効果を与える。
624|레이저로 범위 공격을 하며 적의 행운을 낮춘다.|レーザーで範囲攻撃をしながら敵の回避を低下させる。
625|미사일로 범위 공격을 하며 적의 스킬게이지를 감소시킨다.|ミサイルで範囲攻撃をしながら敵のスキルゲージを減少させる。
626|마지막으로 파괴된 아군 유닛 1개를 부활시킨다.|最後に破壊された味方ユニット1機を復活させる。
627|십자 형태의 범위로 집중 공격을 하며 적의 방어력을 낮춘다.|十者形の範囲で集中攻撃をしながら敵の防御力を低下させる。
628|개틀링으로 범위 공격을 하며 적의 공격력을 낮춘다.|ガトリングで範囲攻撃をしながら敵の攻撃力を低下させる。
629|적 전체에 무작위 공격을 하며 적의 기동력을 낮춘다.|全ての敵に無作為攻撃をしながら敵の機動力を低下させる。
630|레이저로 범위 공격을 하며 적의 치명타율을 낮춘다.|レーザーで範囲攻撃をしながら敵の必殺率を低下させる。
631|레이저로 범위 공격을 하며 적의 스킬게이지를 감소시킨다.|レーザーで範囲攻撃をしながら敵のスキルゲージを減少させる。
632|적 1개 유닛에게 집중 공격을 하며 적의 방어력을 낮춘다.|敵単体に集中攻撃をしながら敵の防御力を低下させる。
633|레이저로 적 1개 유닛을 공격하며 적의 행운을 낮춘다.|レーザーで敵単体にを攻撃して敵の回避を低下させる。
634|레이저로 범위 공격을 하며 적의 공격력을 낮춘다.|レーザーで範囲攻撃をしながら敵の攻撃力を低下させる。
635|십자 범위로 화염을 방사, 적의 방어력을 낮춘다.|十字範囲で火炎を放射、敵の防御力を低下させる。
636|미사일로 범위 공격을 하며 적의 스킬게이지를 감소시킨다.|ミサイルで範囲攻撃をしながら敵のスキルゲージを減少させる。
637|미사일로 적 1개 유닛을 공격하며 적의 기동력을 낮춘다.|ミサイルで敵単体にを攻撃して敵の機動力を低下させる。
638|마지막으로 파괴된 아군 유닛 1개를 부활시킨다.|最後に破壊された味方ユニット1機を復活させる。
639|적 전체에 무작위 공격을 하며 적의 공격력을 낮춘다.|全ての敵に無作為攻撃をしながら敵の攻撃力を低下させる。
640|적 1개 유닛에 집중 공격을 하며 적의 방어력을 낮춘다.|敵単体に集中攻撃をしながら敵の防御力を低下させる。
641|레이저로 범위 공격을 하며 적의 조준을 낮춘다.|レーザーで範囲攻撃をしながら敵の照準を低下させる。
642|레이저로 세로열을 공격, 적의 치명타 피해를 낮춘다.|レーザーで縦列を攻撃、敵の必殺ダメージを低下させる。
643|미사일로 범위 공격을 하며 적의 치명타율을 낮춘다.|ミサイルで範囲攻撃をしながら敵の必殺率を低下させる。
644|레이저로 적 1개 유닛을 공격하며 적의 공격력을 낮춘다.|レーザーで敵単体にを攻撃して敵の攻撃力を低下させる。
645|미사일로 범위 공격을 하며 적의 기동력을 낮춘다.|ミサイルで範囲攻撃をしながら敵の機動力を低下させる。
646|전기 탄환으로 범위 공격, 일정시간 동안 추가 피해를 준다.|電気弾丸で範囲攻撃、一定時間の間追加被害を与える。
647|개틀링으로 범위 공격을 하며 적의 기동력을 낮춘다.|ガトリングで範囲攻撃をしながら敵の機動力を低下させる。
648|개틀링으로 세로 열을 공격, 스턴 효과를 준다.|ガトリングで縦熱を攻撃、スターン効果を与える。
649|개틀링으로 적 1개 유닛을 집중 공격, 적의 공격력을 낮춘다.|ガトリングで敵単体にを集中攻撃、敵の攻撃力を低下させる。
650|레이저로 적 1개 유닛을 공격하며 적의 방어력을 낮춘다.|レーザーで敵単体にを攻撃して敵の防御力を低下させる。
651|레이저로 범위 공격을 하며 적의 방어력을 낮춘다.|レーザーで範囲攻撃をしながら敵の防御力を低下させる。
652|범위 공격을 하며 적의 공격력을 낮춘다.|範囲攻撃をしながら敵の攻撃力を低下させる。
653|아군 부대 전체를 회복시킨다.|味方部隊全体を回復させる。
654|레이저로 범위 공격을 하며 적의 방어력을 낮춘다.|レーザーで範囲攻撃をしながら敵の防御力を低下させる。
655|화염으로 범위 공격을 하며 적의 공격력을 낮춘다.|火炎で範囲攻撃をしながら敵の攻撃力を低下させる。
656|적 1개 유닛을 집중 공격하며 적의 공격력을 낮춘다.|敵単体にを集中攻撃下や敵の攻撃力を低下させる。
657|미사일로 범위 공격을 하며 적의 기동력을 낮춘다.|ミサイルで範囲攻撃をしながら敵の機動力を低下させる。
658|미사일로 범위 공격을 하며 적의 스킬게이지를 감소시킨다.|ミサイルで範囲攻撃をしながら敵のスキルゲージを減少させる。
659|미사일로 적 1개 유닛을 공격하며 적의 방어력을 낮춘다.|ミサイルで敵単体にを攻撃して敵の防御力を低下させる。
660|아군 부대 전체의 기동력을 일정시간 동안 높여준다.|味方部隊全体の機動力を一定時間の間高める。
661|아군 부대 전체를 회복시킨다.|味方部隊全体を回復させる。
662|레이저로 범위 공격을 하며 적의 방어력을 낮춘다.|レーザーで範囲攻撃をしながら敵の防御力を低下させる。
663|미사일로 범위 공격을 하며 적의 방어력을 낮춘다.|ミサイルで範囲攻撃をしながら敵の防御力を低下させる。
664|레이저로 범위 공격을 하며 적의 스킬게이지를 감소시킨다.|レーザーで範囲攻撃をしながら敵のスキルゲージを減少させる。
665|미사일로 범위 공격을 하며 적의 공격력을 낮춘다.|ミサイルで範囲攻撃をしながら敵の攻撃力を低下させる。
901|MAX HP 증가|MAX HP増加
902|공격력 증가|攻撃力増加
903|방어력 증가|防御力増加
904|오토 스킬|オートスキル
951|부대 전체의 모든 유닛의 최대 HP를 10% 증가시킵니다.|部隊全体のすべてのユニットの最大HPを10%増加させます。
952|부대 전체의 모든 유닛의 공격력을 10% 증가시킵니다.|部隊全体のすべてのユニットの攻撃力を10%増加させます。
953|부대 전체의 모든 유닛의 방어력을 10% 증가시킵니다.|部隊全体のすべてのユニットの防御力を10%増加させます。
954|자동 전투 중에 자동으로 스킬이 발동시킵니다.|自動戦闘中に自動でスキルが発動させます。
1000|취소|CANCEL
1001|확인|OK
1002|구매|購入
1003|충전|チャージ
1004|이동|GO
1005|받기|GET
1006|변경|変更
1007|업그레이드|アップグレード
1008|즉시완료|即時完了
1009|완료|完了
1010|해제|解除
1011|Skip|SKIP
1012|Touch Screen|Game Start
1013|새로고침|更新
1014|즉시 새로고침|今すぐ更新
1015|필요|必要
1016|{0}일 {1:00}:{2:00}:{3:00}|{0}日 {1:00}:{2:00}:{3:00}
1017|{0:00}:{1:00}:{2:00}|{0:00}:{1:00}:{2:00}
1018|{0}-{1:00}-{2:00} {3:00}:{4:00}|{0}-{1:00}-{2:00} {3:00}:{4:00}
1019|{0}시간 전|{0}時間前
1020|{0}일 전|{0}日前
1021|Lv.{0}|Lv.{0}
1022|{0}-{1}|{0}-{1}
1023|{0} 충전|{0}チャージ
1024|다이아 {0}개를 사용하여\n{1} {2}개를 충전하시겠습니까?|ダイヤ{0}個を使い\n{1} {2} を\nチャージしますか？
1025|{0}이 가득 차 있어 충전할 수 없습니다.|上限を超えるため、{0}をチャージできません。
1026|일일 구매 횟수를 모두 사용하였습니다.\n(오늘 구매 횟수: {0}회)|一日の購入上限に達しました。\n(本日の購入回数:{0}回)
1027|{0}을 충전했습니다.|{0}をチャージしました。
1028|(오늘남은횟수 : {0}/{1})|(本日残り回数 : {0}/{1})
1029|골드 부족|ゴールド不足
1030|골드가 부족합니다.|ゴールドが不足しています。
1031|다이아 부족|ダイヤ不足
1032|다이아가 부족합니다.\n상점으로 이동하여 충전하시겠습니까?|ダイヤが不足しています。\nショップに移動しチャージしますか？
1033|정렬: 기본|ソート: 基本
1034|정렬:\n레벨|ソート:\nレベル
1035|정렬:\n등급|ソート:\nグレード
1036|정렬: 전투력|ソート: 戦闘力
1037|정렬: 병과|ソート: クラス
1038|정렬: 이름|ソート: 名前
1039|정렬: 접속시간|ソート: \nログイン時間
1040|정렬: 보유|ソート: 保有
1041|정렬: 타입|ソート: タイプ
1042|입력된 글자가 없습니다.|文字が入力されていません。
1043|자동|自動
1044|다이아가 부족하여\n무효화 할 수 없습니다.|ダイヤが不足しています。
1045|계정 변경|アカウント変更
1046|뒤로|戻る
1047|TURN|TURN
1048|{0}남음|残り{0}
1049|충전까지 {0} 남음|チャージまで残り{0}
1050|정렬: ★|ソート: ★
1051|그만두기|SKIP
1052|무료|無料
1053|정렬: 접속시간|ソート:\nログイン時間
1054|정렬: 누적|ソート: 累積
1055|정렬: 오늘|ソート: 今日
1056|다이아 100개를 사용하여\n스킬포인트 10개를 충전하시겠습니까?|ダイヤ100個を使い\nスキルポイント 10 を\nチャージしますか？
1095|본 상품은 구매 후 7일이 경과하였거나 사용했을때, 청약철회가 불가능합니다.\n해당 이벤트를 통해 이루어진 결제는 ACE 포인트가 증가하지 않습니다.|本商品は使用または、購入後7日が経過した場合キャンセルする事はできません。\n該当キャンペーンから行った決済はACEポイントの対象となりません。
1096|본 상품은 구매 후 7일이 경과하였거나 사용했을때, 청약철회가 불가능합니다.\n해당 이벤트를 통해 이루어진 결제는 ACE 포인트가 증가하지 않습니다.|本商品は使用または、購入後7日が経過した場合キャンセルする事はできません。\n該当キャンペーンから行った決済はACEポイントの対象となりません。
1097|유료다이아 사용기한은 구입일로부터 180일 까지 입니다.|有償ダイヤの使用期限は、購入日から180日です。
1098|다이아|ダイヤ
1099|패키지|パッケージ
1100|월정액|定期便
1101|다이아상점 추가탭1|ダイヤ商店追加タブ1
1102|다이아상점 추가탭2|ダイヤ商店追加タブ2
1103|다이아상점 추가탭3|ダイヤ商店追加タブ3
1104|구성품 사용 / 7일 경과시 청약철회 불가, 카니발 이벤트 다이아 구매 참여 가능|有償ダイヤの使用期限は、購入日から180日です。
1105|다이아 사용 / 7일 경과시 청약철회 불가, 월정액 다이아는 일일미션에서 수령|有償ダイヤの使用期限は、購入日から180日です。
1106|다이아상점 하단설명1|ダイヤ商店下段説明1
1107|다이아상점 하단설명2|ダイヤ商店下段説明2
1108|다이아상점 하단설명3|ダイヤ商店下段説明3
1109|샵|ショップ
1110|스킵을 누르면 보수를 받을 수 없습니다.|ストーリーをSkipしますか？\n※いつでも閲覧できます。
1243|작전지에 필요한 총알수 :|作戦遂行に必要な弾薬量:
1244|획득가능한 주요 전리품|獲得可能な主な戦利品
1245|적진영 정보|敵陣営情報
1246|총 전투력: {0:N0}|総戦闘力:{0:N0}
1247|쉬움|有利
