key|EBSS_Kr|EBSS_Jp
10030048|どちらにせよ演習範囲は狭いようだし、そんなに時間はかからないと思うわ。|どちらにせよ演習範囲は狭いようだし、そんなに時間はかからないと思うわ。
10030049|あー、でも相手はターニャ達だもんなぁ。\nそう簡単にやられてくれなさそうだね。|あー、でも相手はターニャ達だもんなぁ。\nそう簡単にやられてくれなさそうだね。
10030050|うぅっ、わたくしの泳ぐ時間が……。|うぅっ、わたくしの泳ぐ時間が……。
10030051|そういえば、レナさんは？|そういえば、レナさんは？
10030052|勝ったらダーリンと結婚……結婚……！|勝ったらダーリンと結婚……結婚……！
10030053|完全に自分の世界に入ってるわね。|完全に自分の世界に入ってるわね。
10030054|しばらく放っておきましょう。|しばらく放っておきましょう。
10030055|じゃあ、準備も整ったようだし出撃するわよ。\n一気に相手の懐へ飛び込むわ！|じゃあ、準備も整ったようだし出撃するわよ。\n一気に相手の懐へ飛び込むわ！
10030056|おぉーーー！！！|おぉーーー！！！
10030057| To Be Continued| To Be Continued
10030058|敵ユニットの戦闘不能を確認！\n次、行くわよ！！|敵ユニットの戦闘不能を確認！\n次、行くわよ！！
10030059|いつもの演習場じゃないのに、ここまで動けるなんてすごいです！\nさすがティナさんですね。|いつもの演習場じゃないのに、ここまで動けるなんてすごいです！\nさすがティナさんですね。
10030060|戦闘はいつどこで起こるかわからないわ。\nだからこそ、想定外の場所でも動けるよう準備しておくものよ。|戦闘はいつどこで起こるかわからないわ。\nだからこそ、想定外の場所でも動けるよう準備しておくものよ。
10030061|準備っていってもなぁ～～。|準備っていってもなぁ～～。
10030062|日々の鍛錬、ユニットの操縦訓練がこういう時に役立つの。\nだからレナも真面目に訓練を――……。|日々の鍛錬、ユニットの操縦訓練がこういう時に役立つの。\nだからレナも真面目に訓練を――……。
10030063|あー、ハイハイわかってます！|あー、ハイハイわかってます！
10030064|もう、レナさんってば……。|もう、レナさんってば……。
10030065|あっ、ちょっと待ってください。戦況に変化が。\n先行している味方ユニットからの通信が途絶えました。|あっ、ちょっと待ってください。戦況に変化が。\n先行している味方ユニットからの通信が途絶えました。
10030066|私たちも交戦しながらここまできたんだもの。\n相手だって距離を詰めてきていてもおかしくないわ。|私たちも交戦しながらここまできたんだもの。\n相手だって距離を詰めてきていてもおかしくないわ。
10030067|セシル達は別行動してるけど、呼び戻せないよね？|セシル達は別行動してるけど、呼び戻せないよね？
10030068|いれば頼りになりますが、時間的に難しいでしょう。\nだとするとおそらく……。|いれば頼りになりますが、時間的に難しいでしょう。\nだとするとおそらく……。
10030069|ダダダダダダッ！！|ダダダダダダッ！！
10030070|レナさん、危ない！|レナさん、危ない！
10030071|ロ、ローズ！？|ロ、ローズ！？
10030072|きゃああぁぁっ！|きゃああぁぁっ！
10030073|側面から奇襲！？|側面から奇襲！？
10030074|くっ、装甲の薄い箇所をつかれたようです。\nしばらく動けそうもありません……。|くっ、装甲の薄い箇所をつかれたようです。\nしばらく動けそうもありません……。
10030075|ターニャとメイ……！\nなるほど、ユニットの弱点を突かれたのはメイの仕業ね。|ターニャとメイ……！\nなるほど、ユニットの弱点を突かれたのはメイの仕業ね。
10030076|部隊のメカニックだもの。\n各ユニットの構造なんて知り尽くしていて当然だわ。|部隊のメカニックだもの。\n各ユニットの構造なんて知り尽くしていて当然だわ。
10030077|その通り！\nアタシの知識とターニャの腕をあわせればこんなものだよ！|その通り！\nアタシの知識とターニャの腕をあわせればこんなものだよ！
10030078|えーー、そんなの不公平だよ！|えーー、そんなの不公平だよ！
10030079|使えるものは使っただけだってば。\nそんなに言うならレナたちも何かすればいーじゃん。|使えるものは使っただけだってば。\nそんなに言うならレナたちも何かすればいーじゃん。
10030080|よし、私たちも対抗しよう！|よし、私たちも対抗しよう！
10030081|何をするつもり？|何をするつもり？
10030082|えーと、あたしの特技を発揮するの！\n基地の補給庫に蓄えられてる食糧を全部言い当てるとか。|えーと、あたしの特技を発揮するの！\n基地の補給庫に蓄えられてる食糧を全部言い当てるとか。
10030083|……それって何か意味あるの？|……それって何か意味あるの？
10030084|相手のお腹をすかせて集中力を削げるよ♪|相手のお腹をすかせて集中力を削げるよ♪
10030085|むしろ、なんでそれを知ってるのかが気になるんだけど！？\nさすがレナって感じだわー。|むしろ、なんでそれを知ってるのかが気になるんだけど！？\nさすがレナって感じだわー。
10030086|えー、だめ？\nじゃあ、ティナの特技とあわせたらなんかいい攻撃できるかなぁ。|えー、だめ？\nじゃあ、ティナの特技とあわせたらなんかいい攻撃できるかなぁ。
10030087|こっちのユニットは知り尽くされてる……。\n特技……あわせる……そうだわ！|こっちのユニットは知り尽くされてる……。\n特技……あわせる……そうだわ！
10030088|な、なんか思いついたの？|な、なんか思いついたの？
10030089|レナ、説明するからよく聞いて。\nこの手なら勝機はあるわ！|レナ、説明するからよく聞いて。\nこの手なら勝機はあるわ！
10030090| To Be Continued| To Be Continued
10030091|いっけぇぇぇぇーー！|いっけぇぇぇぇーー！
10030092|ババババババッ！！|ババババババッ！！
10030093|くうっ……！|くうっ……！
10030094|メイ、大丈夫！？|メイ、大丈夫！？
10030095|な、なんで……？\n足に砂をとられて着弾、ってなるはずだったのに……。|な、なんで……？\n足に砂をとられて着弾、ってなるはずだったのに……。
10030096|確かにメイの読みは完璧だったわ。\nでも、完璧だからこそ、それを崩せばチャンスはある！|確かにメイの読みは完璧だったわ。\nでも、完璧だからこそ、それを崩せばチャンスはある！
10030097|あたしとティナ、二人いるんだもん。\n連携すれば性能以上のことだってできるよね♪|あたしとティナ、二人いるんだもん。\n連携すれば性能以上のことだってできるよね♪
10030098|メイの知識を逆手に取ったっていうの？\nそんな～……。|メイの知識を逆手に取ったっていうの？\nそんな～……。
10030099|ユニットを知り尽くしたメイだからこその手ね。\n正直、いちかばちかだったけど。|ユニットを知り尽くしたメイだからこその手ね。\n正直、いちかばちかだったけど。
10030100|さすがティナさんとレナさんです！|さすがティナさんとレナさんです！
10030101|はぁ……。\n悔しいけど完敗だね。|はぁ……。\n悔しいけど完敗だね。
10030102|あーん、悔しい！\n勝ったら新しい水着買ってもらおうと思ってたのに！！|あーん、悔しい！\n勝ったら新しい水着買ってもらおうと思ってたのに！！
10030103|そういえばなんでそんな露出多い水着なの？|そういえばなんでそんな露出多い水着なの？
10030104|いや、これしか持ってなくてさー。\nそんな露出多い？|いや、これしか持ってなくてさー。\nそんな露出多い？
10030105|うん、特にあの部分が……。|うん、特にあの部分が……。
10030106|胸？|胸？
10030107|ですね……。|ですね……。
10030108|う、うん。|う、うん。
10030109|そう言われるとなんか恥ずかしいんだけど！？|そう言われるとなんか恥ずかしいんだけど！？
10030110|うーん、やっぱり胸おっきいほうがいいよね。\nダーリンも喜びそう！|うーん、やっぱり胸おっきいほうがいいよね。\nダーリンも喜びそう！
10030111|ねぇねぇ、何食べたらそんなおっきくなるの？|ねぇねぇ、何食べたらそんなおっきくなるの？
10030112|も、もうレナさんっ！！|も、もうレナさんっ！！
10030113|さて、ここでの決着はついたことだしそろそろ先へ進むわよ。|さて、ここでの決着はついたことだしそろそろ先へ進むわよ。
10030114|えーー！\nまだ秘訣を聞いてないのにぃ。|えーー！\nまだ秘訣を聞いてないのにぃ。
10030115|今は演習中よ。\n休憩も済んだし速やかに移動しないと。|今は演習中よ。\n休憩も済んだし速やかに移動しないと。
10030116|そうです、ティナさんの言うとおりですよ。\nでは私はターニャさん達と共に司令官のもとへ戻りますね。|そうです、ティナさんの言うとおりですよ。\nでは私はターニャさん達と共に司令官のもとへ戻りますね。
10030117|さっきの交戦でアタシたちのユニットはボロボロになっちゃったからね。\nこのまま動き続けられるほどタフじゃないよ。|さっきの交戦でアタシたちのユニットはボロボロになっちゃったからね。\nこのまま動き続けられるほどタフじゃないよ。
10030118|はぁ～い……。|はぁ～い……。
10030119|開始して大分時間も経っている。\n何か仕掛けてきてもおかしくないわ。|開始して大分時間も経っている。\n何か仕掛けてきてもおかしくないわ。
10030120|気を引き締めていくわよ！！|気を引き締めていくわよ！！
10030121| To Be Continued| To Be Continued
10040001|「Goddess Kiss」のサマーキャンプがはじまって既に半時が経過していた。\nティナ達がターニャ、メイを撃破したことで勢いづく中――\n相手チームもまた鬼神の如き働きをみせる。|「Goddess Kiss」のサマーキャンプがはじまって既に半時が経過していた。\nティナ達がターニャ、メイを撃破したことで勢いづく中――\n相手チームもまた鬼神の如き働きをみせる。
10040002|主にハンナ、エリン、エミリー、アリエルの4人が快進撃を続けていたのだ。\n果たして勝ち残るのはどちらのチームなのだろうか。|主にハンナ、エリン、エミリー、アリエルの4人が快進撃を続けていたのだ。\n果たして勝ち残るのはどちらのチームなのだろうか。
10040003|もう、どうしてこうなっちゃったのぉ！|もう、どうしてこうなっちゃったのぉ！
10040004|これはユニットの動きを一時的に拘束するトラップね。\n何かあるとは思っていたけれど……。|これはユニットの動きを一時的に拘束するトラップね。\n何かあるとは思っていたけれど……。
10040005|ガチャガチャ！|ガチャガチャ！
10040006|操縦桿がきかないよ～。\nこのまま動けなかったら、どうなるんだろう？|操縦桿がきかないよ～。\nこのまま動けなかったら、どうなるんだろう？
10040007|レナが蜂の巣にされるわ。|レナが蜂の巣にされるわ。
10040008|えぇぇぇーー！\nお願いだから置いてかないでね！？|えぇぇぇーー！\nお願いだから置いてかないでね！？
10040009|ふふっ、大丈夫よ。\nしかしこのトラップ、一体誰が……？|ふふっ、大丈夫よ。\nしかしこのトラップ、一体誰が……？
10040010|おおっ、まさかレナとティナが引っかかってるとはな♪|おおっ、まさかレナとティナが引っかかってるとはな♪
10040011|やっぱりここに仕掛けといて正解だったわね。|やっぱりここに仕掛けといて正解だったわね。
10040012|エリンにハンナ！\nここは応戦を……！|エリンにハンナ！\nここは応戦を……！
10040013|おっと、下手に抜け出そうとしない方がいいわよ。\nその周辺にはたくさん、同じようなトラップが仕掛けてあるから。|おっと、下手に抜け出そうとしない方がいいわよ。\nその周辺にはたくさん、同じようなトラップが仕掛けてあるから。
10040014|大丈夫、サクッと終わらせてやんよ！|大丈夫、サクッと終わらせてやんよ！
10040015|ダダダダダダッ！！|ダダダダダダッ！！
10040016|ぐ……っ！！|ぐ……っ！！
10040017|……っ！？\nエリン、上からくるわ！！|……っ！？\nエリン、上からくるわ！！
10040018|なにっ！？|なにっ！？
10040019|ブォンッ！|ブォンッ！
10040020|うぉあ！！　あぶねーー。|うぉあ！！　あぶねーー。
10040021|ふふっ、大人しく刀の錆になって下さってもよろしかったのに。|ふふっ、大人しく刀の錆になって下さってもよろしかったのに。
10040022|もう、ツバサったら！\n遠くから射抜こうと思ったのに斬り込んでいくなんてビックリだよ！|もう、ツバサったら！\n遠くから射抜こうと思ったのに斬り込んでいくなんてビックリだよ！
10040023|二人とも、来てくれたのね！|二人とも、来てくれたのね！
10040024|さて、駆け付けたはいいですが、お二方とも損傷がひどいご様子。\nエリンさん達のお相手はわたくしとセシルさんでお受けいたしましょう。|さて、駆け付けたはいいですが、お二方とも損傷がひどいご様子。\nエリンさん達のお相手はわたくしとセシルさんでお受けいたしましょう。
10040025|ちぇ、邪魔が入ったな。\nさっさとやっつけて褒美もらいたかったのによー。|ちぇ、邪魔が入ったな。\nさっさとやっつけて褒美もらいたかったのによー。
10040026|ユニットの武器を研究するための新資材とかな！|ユニットの武器を研究するための新資材とかな！
10040027|ちょーっと、待った！|ちょーっと、待った！
10040028|私が研究してるのはユニット本体そのもの。\n新ユニットが完成すればもっと戦力を強化できるわ。|私が研究してるのはユニット本体そのもの。\n新ユニットが完成すればもっと戦力を強化できるわ。
10040029|だからご褒美はユニット研究のための資材を望むべきよ。|だからご褒美はユニット研究のための資材を望むべきよ。
10040030|いーや、新ユニットなんていつできるかわからないね。\n新しい武器こそ、今の部隊には必要だ！|いーや、新ユニットなんていつできるかわからないね。\n新しい武器こそ、今の部隊には必要だ！
10040031|あら？\nなんか勝手に揉めはじめましたね。|あら？\nなんか勝手に揉めはじめましたね。
10040032|二人とも拘りが強いからねー。|二人とも拘りが強いからねー。
10040033|譲れねーもんは譲れねーからな。\n……っと、お喋りが過ぎたか。|譲れねーもんは譲れねーからな。\n……っと、お喋りが過ぎたか。
10040034|そういうのは勝ってからとことん話し合えばすむことだよな。|そういうのは勝ってからとことん話し合えばすむことだよな。
10040035|あらあら、わたくし達に勝つ気満々ですのね？|あらあら、わたくし達に勝つ気満々ですのね？
10040036|ここら辺一帯には私とエリンの特製のトラップを仕掛けておいたからね。|ここら辺一帯には私とエリンの特製のトラップを仕掛けておいたからね。
10040037|トラップって、さっきレナ達を拘束していたやつか。|トラップって、さっきレナ達を拘束していたやつか。
10040038|なるほど、天才といわれるのも伊達ではありませんね。|なるほど、天才といわれるのも伊達ではありませんね。
10040039|その他にも色んな効果のトラップがありそうだね。\nホント、なんでよりによってエリンとハンナが組むかなぁ。|その他にも色んな効果のトラップがありそうだね。\nホント、なんでよりによってエリンとハンナが組むかなぁ。
10040040|私達の頭脳と貴方たちの刃……。\nどちらが勝っているか、勝負よ！|私達の頭脳と貴方たちの刃……。\nどちらが勝っているか、勝負よ！
10040041| To Be Continued| To Be Continued
10040042|ダダッダダダダ！！　ドンッ！　ドンッ！！|ダダッダダダダ！！　ドンッ！　ドンッ！！
10040043|……はぁ、はぁ。\nなかなか思ったようにいかないなぁ。|……はぁ、はぁ。\nなかなか思ったようにいかないなぁ。
10040044|それを承知の上でティナさん達を行かせたのでは？|それを承知の上でティナさん達を行かせたのでは？
10040045|まさかここまで身動きとれないとは思わないじゃん。\nほんとに厄介なもの仕込んでくれちゃって。|まさかここまで身動きとれないとは思わないじゃん。\nほんとに厄介なもの仕込んでくれちゃって。
10040046|しかし、このままだとわたくし達も危ういですね。\n何か手を打たなくては。|しかし、このままだとわたくし達も危ういですね。\n何か手を打たなくては。
10040047|かといって、トラップを回避しつつ二人の連携攻撃を避けるのも……。|かといって、トラップを回避しつつ二人の連携攻撃を避けるのも……。
10040048|はーはっは！あたしの実力を見たか！！|はーはっは！あたしの実力を見たか！！
10040049|私の実力でもあるけどね！？|私の実力でもあるけどね！？
10040050|まぁ、そんな細かいことはいいじゃん！|まぁ、そんな細かいことはいいじゃん！
10040051|それにしてもなかなかしぶといわね。|それにしてもなかなかしぶといわね。
10040052|でもあとはこっちが全力で押し切ればいけそうだな！|でもあとはこっちが全力で押し切ればいけそうだな！
10040053|いや、最後まで油断は禁物よ。|いや、最後まで油断は禁物よ。
10040054|操縦技術は相手の方が優れているのは確かだわ。\n私たちが勝っているのは、この頭脳！|操縦技術は相手の方が優れているのは確かだわ。\n私たちが勝っているのは、この頭脳！
10040055|うーん。\nトラップも残り少ないし、なくなったらこっちがピンチだと思うけどな。|うーん。\nトラップも残り少ないし、なくなったらこっちがピンチだと思うけどな。
10040056|戦略も無しに突撃する気？\nそんなのスマートじゃないわ。|戦略も無しに突撃する気？\nそんなのスマートじゃないわ。
10040057|な、なんかまた揉めはじめたみたいだね……。|な、なんかまた揉めはじめたみたいだね……。
10040058|やはり不仲なのでしょうか？|やはり不仲なのでしょうか？
10040059|仲は良いほうじゃない？\nんー、まぁ似たもの同士ってことかな。|仲は良いほうじゃない？\nんー、まぁ似たもの同士ってことかな。
10040060|あれ、でもこれってチャンスなんじゃ？|あれ、でもこれってチャンスなんじゃ？
10040061|エリンさんとハンナさんの強みはその頭脳と連携力。\nただし、意見がかみ合ってない今ならその連携力も……。|エリンさんとハンナさんの強みはその頭脳と連携力。\nただし、意見がかみ合ってない今ならその連携力も……。
10040062|ツバサ、なんとか隙は作れそう？|ツバサ、なんとか隙は作れそう？
10040063|ええ、セシルさんが一撃で仕留めていただけるのでしたら♪|ええ、セシルさんが一撃で仕留めていただけるのでしたら♪
10040064|なんかすごいプレッシャー感じるんだけど！？|なんかすごいプレッシャー感じるんだけど！？
10040065|セシルさんは弓の名手なんでしょう？\nわたくしもその腕は評価していますよ。|セシルさんは弓の名手なんでしょう？\nわたくしもその腕は評価していますよ。
10040066|う、うん……ありがと。|う、うん……ありがと。
10040067|そこまで信頼してくれてるなら答えないとね。\nいいよ、一撃で決める！|そこまで信頼してくれてるなら答えないとね。\nいいよ、一撃で決める！
10040068|ふふっ、セシルさんならそう言うと思ってました。|ふふっ、セシルさんならそう言うと思ってました。
10040069|普段は夫のためにしか刃を振るいませんが……。\n今日だけはセシルさんのために道を切り開きましょう。|普段は夫のためにしか刃を振るいませんが……。\n今日だけはセシルさんのために道を切り開きましょう。
10040070|頼りにしてるよ！|頼りにしてるよ！
10040071|……それに、勝てば正妻への道も拓けますし♪|……それに、勝てば正妻への道も拓けますし♪
10040072|ん？　なんか言った？|ん？　なんか言った？
10040073|いえ、なんでもございません。\nそれでは戦いの幕開けといきましょう！|いえ、なんでもございません。\nそれでは戦いの幕開けといきましょう！
10040074| To Be Continued| To Be Continued
10040075|演習お疲れ！\nいやぁ、素晴らしい戦いぶりだった。|演習お疲れ！\nいやぁ、素晴らしい戦いぶりだった。
10040076|お疲れ様です。\nしかし、司令官からの一報を聞いたときは驚きました。|お疲れ様です。\nしかし、司令官からの一報を聞いたときは驚きました。
10040077|まさかあの不利な状況をツバサ達が覆したなんて……。|まさかあの不利な状況をツバサ達が覆したなんて……。
10040078|わたくしというより功労者はセシルさんですけどね。\n一発で駆動部を射抜いたのはさすがとしかいいようがありません。|わたくしというより功労者はセシルさんですけどね。\n一発で駆動部を射抜いたのはさすがとしかいいようがありません。
10040079|う～～、悔しい～～！|う～～、悔しい～～！
10040080|自分とエミリー殿はレア殿達との交戦直後に強襲されたでありますからね。\n仕方ないであります。|自分とエミリー殿はレア殿達との交戦直後に強襲されたでありますからね。\n仕方ないであります。
10040081|あんな手負いの状態でどうツバサたちとやりあえっていうのよ～～！|あんな手負いの状態でどうツバサたちとやりあえっていうのよ～～！
10040082|ふふっ、本番でも敵は待ってくれませんよ。|ふふっ、本番でも敵は待ってくれませんよ。
10040083|ぐぬぬぬ……。|ぐぬぬぬ……。
10040084|次は勝つであります！|次は勝つであります！
10040085|そうそう、次の演習では反省点を改善してだな……。|そうそう、次の演習では反省点を改善してだな……。
10040086|司令、次は普通の服装でありますか……？|司令、次は普通の服装でありますか……？
10040087|見えます……司令が冷ややかな目で見られるビジョンが……。|見えます……司令が冷ややかな目で見られるビジョンが……。
10040088|つまり、また水着を着せようと謀っている、と……。|つまり、また水着を着せようと謀っている、と……。
10040089|ユリアの未来予知能力は便利よねー。|ユリアの未来予知能力は便利よねー。
10040090|ぎくっ。|ぎくっ。
10040091|もう金輪際こんな格好で演習はしませんからねっ！！|もう金輪際こんな格好で演習はしませんからねっ！！
10040092|うぅ、わかったよ。\nところで、ティナ達が希望するものはなんなんだ？|うぅ、わかったよ。\nところで、ティナ達が希望するものはなんなんだ？
10040093|そういえば褒美があると言っていましたわね。\nティナさんなら恐らく……。|そういえば褒美があると言っていましたわね。\nティナさんなら恐らく……。
10040094|(新しいウサちゃんほしい……)|(新しいウサちゃんほしい……)
10040095|(やはり妻にしていただきましょう♪)|(やはり妻にしていただきましょう♪)
10040096|そうですね。\n最新の訓練プログラムとトレーニング用品の準備をお願いします。|そうですね。\n最新の訓練プログラムとトレーニング用品の準備をお願いします。
10040097|う……。|う……。
10040098|ティナさん！？|ティナさん！？
10040099|「Goddess Kiss」はまだ再出発を果たしたばかりです。\n今回の演習でも連携の乱れが原因で敗北したケースもありました。|「Goddess Kiss」はまだ再出発を果たしたばかりです。\n今回の演習でも連携の乱れが原因で敗北したケースもありました。
10040100|今のままでは帝国に勝てません。\nであれば、部隊の強化へと繋がる、この選択がベストだと思います。|今のままでは帝国に勝てません。\nであれば、部隊の強化へと繋がる、この選択がベストだと思います。
10040101|こんなことだろうと思っていましたの。|こんなことだろうと思っていましたの。
10040102|なんというか、ティナらしいわねぇ。|なんというか、ティナらしいわねぇ。
10040103|なるほどな。他に異論がなければと思うが、どうだ？|なるほどな。他に異論がなければと思うが、どうだ？
10040104|…………。|…………。
10040105|さすが「Goddess Kiss」の隊員であります！\n異論がないでありますか！？|さすが「Goddess Kiss」の隊員であります！\n異論がないでありますか！？
10040106|……いや、これ空気的に言い出せないだけでしょ。|……いや、これ空気的に言い出せないだけでしょ。
10040107|よし、異論もなさそうだ。早速手配しよう。|よし、異論もなさそうだ。早速手配しよう。
10040108|これでより一層経験を積むことができます。\n感謝します、司令官！|これでより一層経験を積むことができます。\n感謝します、司令官！
10040109|ホント、どこまでも真面目なんだから。|ホント、どこまでも真面目なんだから。
10040110|でも、あそこまで部隊のことを一途に想われるとこれでよかったのかもという気もしますわね。|でも、あそこまで部隊のことを一途に想われるとこれでよかったのかもという気もしますわね。
10040111|私利私欲のために使うよりかはね。|私利私欲のために使うよりかはね。
10040112|まぁ、あっちの人たちはしばらく落ち込んでそうだけど。|まぁ、あっちの人たちはしばらく落ち込んでそうだけど。
10040113|皆が悲しみに暮れるビジョンが……見えます……。|皆が悲しみに暮れるビジョンが……見えます……。
10040114|はぁ、妻となる計画が水の泡に……。|はぁ、妻となる計画が水の泡に……。
10040115|ユリア殿、ツバサ殿、どうしたでありますか！？\n一緒にトレーニングに励むでありますよ！！|ユリア殿、ツバサ殿、どうしたでありますか！？\n一緒にトレーニングに励むでありますよ！！
10040116|ふう、これはしばらく引きずりそうねー……。|ふう、これはしばらく引きずりそうねー……。
10040117|こうして「Goddess Kiss」のサマーキャンプは終わりを迎える。\n紆余曲折あったものの、結果として隊員達を成長させたこの演習。|こうして「Goddess Kiss」のサマーキャンプは終わりを迎える。\n紆余曲折あったものの、結果として隊員達を成長させたこの演習。
10040118|後に何度も実施されるほど好評だったが、服装は水着ではなかったとか。\nそれに新司令官が肩を落としたことはいうまでもない。|後に何度も実施されるほど好評だったが、服装は水着ではなかったとか。\nそれに新司令官が肩を落としたことはいうまでもない。
10040119|End|End
10050001|う、ううん……。|う、ううん……。
10050002|あれ、ユニットの中……？\nアタシ確かユニットの整備をしてて……。|あれ、ユニットの中……？\nアタシ確かユニットの整備をしてて……。
10050003|って、ここどこ！？|って、ここどこ！？
10050004|司令は？　「Goddess Kiss」のみんなは？\nそれにこの格好なんなの！？|司令は？　「Goddess Kiss」のみんなは？\nそれにこの格好なんなの！？
