key|S_Kr|S_En|S_Beon|S_Esp|S_Deu|S_Idn|S_Tha|S_Fr|S_Gan|S_Rus
1010026|보통사람은 아니죠.\n사령관님은 오비디언스 내성을 가지고 계시잖아요?|Oh, come on!\nYou're far from ordinary. You are immune to Obedience.|Oh, come on!\nYou're far from ordinary. You are immune to Obedience.|Oh, come on!\nYou're far from ordinary. You are immune to Obedience.|Oh, come on!\nYou're far from ordinary. You are immune to Obedience.|Oh, come on!\nYou're far from ordinary. You are immune to Obedience.|Oh, come on!\nYou're far from ordinary. You are immune to Obedience.|Oh, come on!\nYou're far from ordinary. You are immune to Obedience.|Oh, come on!\nYou're far from ordinary. You are immune to Obedience.|О, перестаньте!\nВы далеко не обычны. Вы невосприимчивы к Подчинению.
1010027|그것 말고는?|Other than that?|Other than that?|Other than that?|Other than that?|Other than that?|Other than that?|Other than that?|Other than that?|А кроме этого?
1010028|그것 말고는... 음....\n군인답지 않은 태도에 게으르고, 말을 막 하고...\n유머는 낡았고. 호색한에....|Well... Well...\nYou are definitely not military type and completely ignore rules, lazy, talk too much...\nbad sense of humor... Have habit of sexually harassing females...|Well... Well...\nYou are definitely not military type and completely ignore rules, lazy, talk too much...\nbad sense of humor... Have habit of sexually harassing females...|Well... Well...\nYou are definitely not military type and completely ignore rules, lazy, talk too much...\nbad sense of humor... Have habit of sexually harassing females...|Well... Well...\nYou are definitely not military type and completely ignore rules, lazy, talk too much...\nbad sense of humor... Have habit of sexually harassing females...|Well... Well...\nYou are definitely not military type and completely ignore rules, lazy, talk too much...\nbad sense of humor... Have habit of sexually harassing females...|Well... Well...\nYou are definitely not military type and completely ignore rules, lazy, talk too much...\nbad sense of humor... Have habit of sexually harassing females...|Well... Well...\nYou are definitely not military type and completely ignore rules, lazy, talk too much...\nbad sense of humor... Have habit of sexually harassing females...|Well... Well...\nYou are definitely not military type and completely ignore rules, lazy, talk too much...\nbad sense of humor... Have habit of sexually harassing females...|Ну... ну...\nВы определённо не военный тип и полностью игнорируете правила, ленитесь, болтаете слишком много...\nУ вас плохое чувство юмора... Имеете привычку приставать к женщинам...
1010029|어이 스톱! 스톱!\n그건 단순히 이상한 놈이라는 거잖아!\n것보다 너 평소에 날 그런 식으로 생각한 거냐?|Okay! That's enough! Enough!\nYou're just saying that I'm a lunatic!\nIs that what you usually think of me as?|Okay! That's enough! Enough!\nYou're just saying that I'm a lunatic!\nIs that what you usually think of me as?|Okay! That's enough! Enough!\nYou're just saying that I'm a lunatic!\nIs that what you usually think of me as?|Okay! That's enough! Enough!\nYou're just saying that I'm a lunatic!\nIs that what you usually think of me as?|Okay! That's enough! Enough!\nYou're just saying that I'm a lunatic!\nIs that what you usually think of me as?|Okay! That's enough! Enough!\nYou're just saying that I'm a lunatic!\nIs that what you usually think of me as?|Okay! That's enough! Enough!\nYou're just saying that I'm a lunatic!\nIs that what you usually think of me as?|Okay! That's enough! Enough!\nYou're just saying that I'm a lunatic!\nIs that what you usually think of me as?|Хватит! Достаточно!\nТы ​​говоришь, что я сумасшедший!\nЭто то, что ты обычно обо мне думаешь?
1010030|평소 행실에 비추어 볼 때 별로 틀린 판단은 아니라고 생각하는데요?|Yeah! That's how you usually are.|Yeah! That's how you usually are.|Yeah! That's how you usually are.|Yeah! That's how you usually are.|Yeah! That's how you usually are.|Yeah! That's how you usually are.|Yeah! That's how you usually are.|Yeah! That's how you usually are.|Да! Обычно вы такой.
1010031|윽! (젠장... 반박할 거리가 없는 게 너무 분해!)|Arrrgggg! (Arrgg... I'm so angry because she is correct!)|Arrrgggg! (Arrgg... I'm so angry because she is correct!)|Arrrgggg! (Arrgg... I'm so angry because she is correct!)|Arrrgggg! (Arrgg... I'm so angry because she is correct!)|Arrrgggg! (Arrgg... I'm so angry because she is correct!)|Arrrgggg! (Arrgg... I'm so angry because she is correct!)|Arrrgggg! (Arrgg... I'm so angry because she is correct!)|Arrrgggg! (Arrgg... I'm so angry because she is correct!)|Аг-х! (Я так злюсь, потому что она права!)
1010032|하지만…|But…|But…|But…|But…|But…|But…|But…|But…|Но...
1010033|응?|What?|What?|What?|What?|What?|What?|What?|What?|Что?
1010034|요전번의 전투 지휘는 훌륭했다고 생각합니다.\n솔직히 좀 놀랐어요.|I believe your leadership in the last battle was outstanding.\nTo be honest, I was very surprised.|I believe your leadership in the last battle was outstanding.\nTo be honest, I was very surprised.|I believe your leadership in the last battle was outstanding.\nTo be honest, I was very surprised.|I believe your leadership in the last battle was outstanding.\nTo be honest, I was very surprised.|I believe your leadership in the last battle was outstanding.\nTo be honest, I was very surprised.|I believe your leadership in the last battle was outstanding.\nTo be honest, I was very surprised.|I believe your leadership in the last battle was outstanding.\nTo be honest, I was very surprised.|I believe your leadership in the last battle was outstanding.\nTo be honest, I was very surprised.|Я считаю, что ваше руководство в последнем сражении было выдающимся.\nЧестно говоря, я была очень удивлена.
1010035|흐.. 흠!\n내가 그럴 마음만 먹으면 그 정도는 한다고?|Hmm... Yeah!\nI just need to put my mind to it. That's all.|Hmm... Yeah!\nI just need to put my mind to it. That's all.|Hmm... Yeah!\nI just need to put my mind to it. That's all.|Hmm... Yeah!\nI just need to put my mind to it. That's all.|Hmm... Yeah!\nI just need to put my mind to it. That's all.|Hmm... Yeah!\nI just need to put my mind to it. That's all.|Hmm... Yeah!\nI just need to put my mind to it. That's all.|Hmm... Yeah!\nI just need to put my mind to it. That's all.|Хм... Да!\nМне просто нужно сосредоточиться на этом. Это всё.
1010036|그렇다면 작전계획 작성도 문제없으시겠죠?|Then why don't you put your mind to finishing up that mission plan?|Then why don't you put your mind to finishing up that mission plan?|Then why don't you put your mind to finishing up that mission plan?|Then why don't you put your mind to finishing up that mission plan?|Then why don't you put your mind to finishing up that mission plan?|Then why don't you put your mind to finishing up that mission plan?|Then why don't you put your mind to finishing up that mission plan?|Then why don't you put your mind to finishing up that mission plan?|Тогда почему бы вам не закончить отчёт?
1010037|무.. 물론이지.|Umm.. Yeah...|Umm.. Yeah...|Umm.. Yeah...|Umm.. Yeah...|Umm.. Yeah...|Umm.. Yeah...|Umm.. Yeah...|Umm.. Yeah...|Ум-м... Да...
1010038|그럼 전 바로 옆 별실에서 대기하고 있을 테니 끝나면 불러 주세요.|Well, I'll be right next door. Just call me when you get done.|Well, I'll be right next door. Just call me when you get done.|Well, I'll be right next door. Just call me when you get done.|Well, I'll be right next door. Just call me when you get done.|Well, I'll be right next door. Just call me when you get done.|Well, I'll be right next door. Just call me when you get done.|Well, I'll be right next door. Just call me when you get done.|Well, I'll be right next door. Just call me when you get done.|Ну, я буду в соседней комнате. Просто позовите, когда закончите.
1010039|어... 응.|Well... Alright.|Well... Alright.|Well... Alright.|Well... Alright.|Well... Alright.|Well... Alright.|Well... Alright.|Well... Alright.|Ну... Хорошо.
1010040|....................\n음. 뭔가 낚인 기분이 드는데...|....................\nhmm. What was that all about...|....................\nhmm. What was that all about...|....................\nhmm. What was that all about...|....................\nhmm. What was that all about...|....................\nhmm. What was that all about...|....................\nhmm. What was that all about...|....................\nhmm. What was that all about...|....................\nhmm. What was that all about...|...\nХм-м-м... Что всё это было...
1010041|뭐 됐어. 어차피 해야 될 일이니..|It doesn't matter. I have to do this, anyway.|It doesn't matter. I have to do this, anyway.|It doesn't matter. I have to do this, anyway.|It doesn't matter. I have to do this, anyway.|It doesn't matter. I have to do this, anyway.|It doesn't matter. I have to do this, anyway.|It doesn't matter. I have to do this, anyway.|It doesn't matter. I have to do this, anyway.|Не имеет значения. Так или иначе, я должен это сделать.
1010042|1시간 후.|1 hour later.|1 hour later.|1 hour later.|1 hour later.|1 hour later.|1 hour later.|1 hour later.|1 hour later.|Через 1 час.
1010043|좋아. 이제 거의 끝나간다.\n그나저나 이 녀석은 제대로 대기하고 있나?\n설마 날 두고 퇴근한 건 아니겠지...|Excellent! I'm almost done.\nI wonder if she's still around.\nMaybe she took off already?|Excellent! I'm almost done.\nI wonder if she's still around.\nMaybe she took off already?|Excellent! I'm almost done.\nI wonder if she's still around.\nMaybe she took off already?|Excellent! I'm almost done.\nI wonder if she's still around.\nMaybe she took off already?|Excellent! I'm almost done.\nI wonder if she's still around.\nMaybe she took off already?|Excellent! I'm almost done.\nI wonder if she's still around.\nMaybe she took off already?|Excellent! I'm almost done.\nI wonder if she's still around.\nMaybe she took off already?|Excellent! I'm almost done.\nI wonder if she's still around.\nMaybe she took off already?|Отлично! Я уже почти закончил.\nИнтересно, она всё ещё здесь?\nМожет, уже ушла?
1010044|어디~ 살짝 들여다 볼까?|Let's go take a peak.|Let's go take a peak.|Let's go take a peak.|Let's go take a peak.|Let's go take a peak.|Let's go take a peak.|Let's go take a peak.|Let's go take a peak.|Пойду посмотрю.
1010045|다 끝내셨나요?|Are you done?|Are you done?|Are you done?|Are you done?|Are you done?|Are you done?|Are you done?|Are you done?|Вы закончили?
1010046|히익~~!!|Yaeks!|Yaeks!|Yaeks!|Yaeks!|Yaeks!|Yaeks!|Yaeks!|Yaeks!|Ай!
1010047|뭘 그렇게 놀래시죠?\n설마 땡땡이치고 계셨던 건…|Why are you all jumpy about?\nYou weren't just day dreaming, were you?|Why are you all jumpy about?\nYou weren't just day dreaming, were you?|Why are you all jumpy about?\nYou weren't just day dreaming, were you?|Why are you all jumpy about?\nYou weren't just day dreaming, were you?|Why are you all jumpy about?\nYou weren't just day dreaming, were you?|Why are you all jumpy about?\nYou weren't just day dreaming, were you?|Why are you all jumpy about?\nYou weren't just day dreaming, were you?|Why are you all jumpy about?\nYou weren't just day dreaming, were you?|Что это вы подскочили?\nВы ведь не дремали, не так ли?
1010048|그.. 그럴 리 있냐!\n별실에 가려고 일어섰는데 갑자기 네가 들어와서 놀란 것뿐이라고!|Oh, Of course not!\nI was just about to go check up on you and you came in and surprised me!|Oh, Of course not!\nI was just about to go check up on you and you came in and surprised me!|Oh, Of course not!\nI was just about to go check up on you and you came in and surprised me!|Oh, Of course not!\nI was just about to go check up on you and you came in and surprised me!|Oh, Of course not!\nI was just about to go check up on you and you came in and surprised me!|Oh, Of course not!\nI was just about to go check up on you and you came in and surprised me!|Oh, Of course not!\nI was just about to go check up on you and you came in and surprised me!|Oh, Of course not!\nI was just about to go check up on you and you came in and surprised me!|О, конечно нет! Я как раз собирался проверить тебя, а ты вошла и испугала меня!
1010049|별실에요?\n서.. 설마!! 제가 자는 사이 절 어떻게 해 보려고…|Check up on me?\nHey.. Were you? Why were you going to come to my office?|Check up on me?\nHey.. Were you? Why were you going to come to my office?|Check up on me?\nHey.. Were you? Why were you going to come to my office?|Check up on me?\nHey.. Were you? Why were you going to come to my office?|Check up on me?\nHey.. Were you? Why were you going to come to my office?|Check up on me?\nHey.. Were you? Why were you going to come to my office?|Check up on me?\nHey.. Were you? Why were you going to come to my office?|Check up on me?\nHey.. Were you? Why were you going to come to my office?|Проверить меня?\nЭй... Вы хотели? Вы хотели зайти в мой кабинет?
1010050|하긴 뭘 해!!\n응? 그나저나 너 자고 있었냐?|Me?\nWell.. Anyway, were you sleeping?|Me?\nWell.. Anyway, were you sleeping?|Me?\nWell.. Anyway, were you sleeping?|Me?\nWell.. Anyway, were you sleeping?|Me?\nWell.. Anyway, were you sleeping?|Me?\nWell.. Anyway, were you sleeping?|Me?\nWell.. Anyway, were you sleeping?|Me?\nWell.. Anyway, were you sleeping?|Я?\nНу... а что, ты спала?
1010051|요즘 조금 수면 부족이었거든요.\n요즘 절 고생시키는 ‘어떤 분’ 때문에요.|Well... I am not getting enough sleep nowadays.\n'Someone' is really making me work overtime.|Well... I am not getting enough sleep nowadays.\n'Someone' is really making me work overtime.|Well... I am not getting enough sleep nowadays.\n'Someone' is really making me work overtime.|Well... I am not getting enough sleep nowadays.\n'Someone' is really making me work overtime.|Well... I am not getting enough sleep nowadays.\n'Someone' is really making me work overtime.|Well... I am not getting enough sleep nowadays.\n'Someone' is really making me work overtime.|Well... I am not getting enough sleep nowadays.\n'Someone' is really making me work overtime.|Well... I am not getting enough sleep nowadays.\n'Someone' is really making me work overtime.|Ну... в последнее время я мало сплю.\nИз-за «кое-кого» мне нужно работать сверхурочно.
1010052|음… 그 어떤 분이 누군진 전혀~ 모르겠다만.\n것 참. 내 부하를 고생시키고 말이야. 안 되겠구먼.|Well, I have no idea who that someone is.\nBut that is bad. I'm sorry that you are keep on working overtime. This is not good.|Well, I have no idea who that someone is.\nBut that is bad. I'm sorry that you are keep on working overtime. This is not good.|Well, I have no idea who that someone is.\nBut that is bad. I'm sorry that you are keep on working overtime. This is not good.|Well, I have no idea who that someone is.\nBut that is bad. I'm sorry that you are keep on working overtime. This is not good.|Well, I have no idea who that someone is.\nBut that is bad. I'm sorry that you are keep on working overtime. This is not good.|Well, I have no idea who that someone is.\nBut that is bad. I'm sorry that you are keep on working overtime. This is not good.|Well, I have no idea who that someone is.\nBut that is bad. I'm sorry that you are keep on working overtime. This is not good.|Well, I have no idea who that someone is.\nBut that is bad. I'm sorry that you are keep on working overtime. This is not good.|Хм, я понятия не имею, о ком ты.\nЖаль, что ты работаешь сверхурочно. Это не хорошо.
1010053|네. 고생이 많아요.\n정말 그 ‘꼰대’가 좀 잘 해줬으면 좋을 텐데요.|Yes. I really hate that snob.\nI wish that snob will be more nice to me.|Yes. I really hate that snob.\nI wish that snob will be more nice to me.|Yes. I really hate that snob.\nI wish that snob will be more nice to me.|Yes. I really hate that snob.\nI wish that snob will be more nice to me.|Yes. I really hate that snob.\nI wish that snob will be more nice to me.|Yes. I really hate that snob.\nI wish that snob will be more nice to me.|Yes. I really hate that snob.\nI wish that snob will be more nice to me.|Yes. I really hate that snob.\nI wish that snob will be more nice to me.|Да. Я действительно ненавижу этого сноба.\nЯ хотела бы, чтобы этот сноб был добрее ко мне.
